image,gt,aeroplane,bicycle,bird,boat,bottle,bus,car,cat,chair,cow,diningtable,dog,horse,motorbike,person,pottedplant,sheep,sofa,train,tvmonitor
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000417.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_006621.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_003876.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001858.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.002,0.0,0.003,0.0,0.001,0.0,0.001,0.0,0.005,0.001,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_002310.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003801.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.001,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003947.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_005685.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.006,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.003,0.0,0.0,0.0,0.03,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_007229.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.003,0.0,0.005,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.006,0.0,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001426.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.0,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.002
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001652.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000817.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001174.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002941.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.003,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000387.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_005189.jpg,['aeroplane'],1.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003950.jpg,"['aeroplane', 'person']",1.0,0.0,0.0,0.0,0.0,0.002,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_008359.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_000418.jpg,['aeroplane'],1.0,0.0,0.0,0.001,0.002,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_003423.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.001,0.003,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.006,0.0,0.0,0.0,0.007,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_003111.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.002,0.0,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_000656.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002614.jpg,['aeroplane'],1.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_002380.jpg,['aeroplane'],1.0,0.001,0.0,0.001,0.001,0.002,0.003,0.0,0.0,0.001,0.0,0.0,0.004,0.001,0.01,0.0,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003005.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.005,0.0,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001114.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003458.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.001,0.0,0.004,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.003,0.002,0.0,0.001,0.001,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_001546.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_005114.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.001,0.0,0.0,0.0,0.014
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001294.jpg,['aeroplane'],1.0,0.0,0.0,0.001,0.002,0.001,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.005,0.0,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_003369.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_000103.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.003,0.002,0.002,0.0,0.0,0.001,0.0,0.0,0.001,0.0,0.028,0.0,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002888.jpg,['aeroplane'],1.0,0.001,0.0,0.001,0.003,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002191.jpg,"['aeroplane', 'person']",1.0,0.001,0.0,0.0,0.003,0.006,0.004,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.021,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_001501.jpg,['aeroplane'],1.0,0.001,0.0,0.001,0.001,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.013,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_002200.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.002,0.001,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.011,0.001,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_004312.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_005184.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.004,0.0,0.0,0.001,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001081.jpg,['aeroplane'],1.0,0.0,0.0,0.0,0.002,0.001,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.004,0.0,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003696.jpg,['aeroplane'],1.0,0.001,0.0,0.0,0.002,0.001,0.01,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_005556.jpg,['bicycle'],0.0,1.0,0.0,0.0,0.16,0.004,0.005,0.001,0.002,0.0,0.0,0.001,0.0,0.0,0.019,0.009,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_000829.jpg,"['bicycle', 'motorbike']",0.0,1.0,0.001,0.0,0.152,0.007,0.024,0.001,0.001,0.0,0.0,0.002,0.0,0.001,0.055,0.01,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002194.jpg,['bicycle'],0.0,1.0,0.0,0.0,0.062,0.004,0.013,0.003,0.008,0.001,0.0,0.0,0.0,0.001,0.009,0.022,0.002,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_008711.jpg,['bicycle'],0.0,1.0,0.0,0.0,0.071,0.006,0.024,0.001,0.002,0.0,0.0,0.002,0.0,0.001,0.028,0.025,0.001,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_000412.jpg,['bicycle'],0.0,1.0,0.005,0.0,0.067,0.003,0.011,0.001,0.003,0.001,0.0,0.003,0.0,0.003,0.006,0.009,0.002,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001049.jpg,['bicycle'],0.0,1.0,0.0,0.0,0.347,0.005,0.01,0.0,0.002,0.001,0.0,0.001,0.0,0.0,0.218,0.004,0.002,0.0,0.002,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002833.jpg,['bicycle'],0.001,1.0,0.0,0.0,0.043,0.023,0.067,0.002,0.001,0.001,0.0,0.001,0.0,0.002,0.129,0.01,0.001,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003251.jpg,['bicycle'],0.0,1.0,0.001,0.0,0.079,0.005,0.041,0.001,0.001,0.002,0.0,0.003,0.0,0.004,0.036,0.008,0.004,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_001456.jpg,['bicycle'],0.0,1.0,0.001,0.0,0.039,0.004,0.032,0.001,0.001,0.001,0.0,0.002,0.0,0.002,0.016,0.01,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_002928.jpg,"['bicycle', 'pottedplant']",0.0,1.0,0.003,0.0,0.163,0.005,0.041,0.001,0.011,0.002,0.0,0.007,0.001,0.001,0.025,0.056,0.009,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_000898.jpg,['bicycle'],0.001,1.0,0.0,0.0,0.054,0.003,0.015,0.001,0.004,0.001,0.0,0.003,0.0,0.0,0.008,0.013,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_000342.jpg,['bicycle'],0.0,1.0,0.002,0.0,0.127,0.004,0.007,0.001,0.003,0.001,0.0,0.002,0.0,0.0,0.02,0.007,0.002,0.0,0.002,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_004182.jpg,['bicycle'],0.0,1.0,0.002,0.0,0.254,0.006,0.016,0.001,0.002,0.001,0.0,0.002,0.0,0.001,0.012,0.023,0.003,0.0,0.003,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_000474.jpg,['bicycle'],0.0,1.0,0.002,0.0,0.05,0.006,0.03,0.0,0.001,0.001,0.0,0.0,0.0,0.002,0.011,0.014,0.001,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_005116.jpg,['bicycle'],0.001,1.0,0.0,0.0,0.026,0.003,0.07,0.004,0.003,0.0,0.0,0.0,0.0,0.002,0.011,0.028,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_008724.jpg,['bicycle'],0.0,1.0,0.0,0.0,0.096,0.012,0.059,0.003,0.002,0.0,0.0,0.002,0.0,0.019,0.064,0.022,0.001,0.0,0.003,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_002326.jpg,['bicycle'],0.0,1.0,0.001,0.0,0.054,0.006,0.056,0.0,0.035,0.002,0.0,0.001,0.0,0.007,0.042,0.011,0.002,0.002,0.008,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000461.jpg,"['bicycle', 'car', 'person']",0.0,1.0,0.0,0.0,0.096,0.002,0.032,0.0,0.004,0.0,0.0,0.004,0.002,0.003,1.0,0.001,0.003,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_003169.jpg,['bicycle'],0.0,1.0,0.001,0.0,0.08,0.004,0.028,0.001,0.004,0.001,0.0,0.001,0.0,0.001,0.031,0.012,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000573.jpg,"['bicycle', 'bottle']",0.001,1.0,0.001,0.0,0.118,0.012,0.134,0.001,0.013,0.001,0.001,0.011,0.0,0.002,0.061,0.141,0.002,0.001,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003905.jpg,"['bicycle', 'car', 'pottedplant']",0.0,1.0,0.001,0.0,0.092,0.005,0.035,0.001,0.027,0.0,0.001,0.002,0.0,0.001,0.033,0.038,0.002,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_002814.jpg,['bicycle'],0.0,1.0,0.002,0.0,0.043,0.008,0.061,0.001,0.006,0.001,0.0,0.001,0.0,0.002,0.027,0.004,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_005178.jpg,['bicycle'],0.001,1.0,0.0,0.0,0.077,0.008,0.038,0.002,0.007,0.001,0.0,0.002,0.0,0.001,0.043,0.009,0.001,0.001,0.002,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_004664.jpg,"['bicycle', 'person']",0.0,1.0,0.0,0.0,0.117,0.005,0.056,0.001,0.001,0.0,0.0,0.001,0.001,0.012,1.0,0.035,0.001,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_000950.jpg,['bicycle'],0.002,1.0,0.001,0.0,0.064,0.012,0.17,0.001,0.007,0.001,0.0,0.003,0.0,0.004,0.019,0.029,0.002,0.001,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_004822.jpg,"['bicycle', 'car', 'person']",0.0,1.0,0.0,0.0,0.059,0.005,0.153,0.0,0.001,0.0,0.0,0.016,0.002,0.011,0.994,0.002,0.003,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000634.jpg,['bicycle'],0.0,1.0,0.003,0.0,0.072,0.02,0.055,0.003,0.003,0.001,0.0,0.003,0.0,0.001,0.014,0.028,0.003,0.0,0.003,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_001138.jpg,['bicycle'],0.001,1.0,0.001,0.0,0.054,0.002,0.019,0.001,0.006,0.001,0.0,0.002,0.0,0.002,0.012,0.046,0.0,0.001,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003224.jpg,['bicycle'],0.011,1.0,0.001,0.0,0.118,0.009,0.034,0.001,0.007,0.0,0.0,0.001,0.0,0.002,0.07,0.005,0.001,0.001,0.001,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000896.jpg,"['bicycle', 'person']",0.0,1.0,0.001,0.0,0.119,0.023,0.084,0.001,0.003,0.002,0.0,0.004,0.006,0.013,0.991,0.004,0.008,0.0,0.002,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_002030.jpg,['bicycle'],0.003,1.0,0.001,0.0,0.093,0.006,0.02,0.001,0.029,0.0,0.001,0.009,0.0,0.001,0.038,0.013,0.001,0.002,0.001,0.002
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000985.jpg,['bicycle'],0.002,1.0,0.0,0.0,0.024,0.007,0.016,0.001,0.0,0.0,0.0,0.0,0.0,0.005,0.013,0.006,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_000933.jpg,"['bicycle', 'bottle', 'person']",0.0,1.0,0.0,0.0,0.217,0.01,0.063,0.0,0.005,0.001,0.0,0.003,0.008,0.003,0.995,0.007,0.004,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_000803.jpg,"['bicycle', 'motorbike', 'person']",0.001,1.0,0.0,0.0,0.186,0.005,0.02,0.0,0.002,0.0,0.0,0.001,0.002,0.097,1.0,0.001,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_007719.jpg,['bicycle'],0.001,1.0,0.001,0.0,0.046,0.005,0.011,0.001,0.004,0.001,0.0,0.002,0.0,0.003,0.051,0.009,0.0,0.0,0.001,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_003270.jpg,['bicycle'],0.004,1.0,0.001,0.0,0.022,0.002,0.033,0.001,0.001,0.0,0.0,0.001,0.0,0.056,0.024,0.008,0.0,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_006519.jpg,"['bicycle', 'person']",0.0,0.999,0.0,0.001,0.082,0.007,0.019,0.0,0.001,0.001,0.0,0.002,0.006,0.003,1.0,0.002,0.004,0.0,0.002,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_000133.jpg,"['bicycle', 'car']",0.0,0.999,0.0,0.0,0.017,0.004,0.291,0.003,0.001,0.0,0.0,0.001,0.0,0.016,0.013,0.008,0.001,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_002192.jpg,"['bicycle', 'person']",0.0,0.999,0.0,0.0,0.032,0.023,0.338,0.0,0.002,0.0,0.0,0.011,0.031,0.069,1.0,0.002,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_002064.jpg,"['bicycle', 'car']",0.001,0.999,0.0,0.0,0.082,0.038,0.252,0.001,0.007,0.0,0.001,0.002,0.0,0.021,0.122,0.075,0.001,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003469.jpg,['bicycle'],0.001,0.999,0.002,0.0,0.035,0.007,0.041,0.001,0.005,0.003,0.0,0.001,0.001,0.002,0.033,0.015,0.006,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_004363.jpg,['bicycle'],0.001,0.999,0.001,0.0,0.088,0.007,0.011,0.001,0.109,0.0,0.004,0.001,0.0,0.0,0.016,0.026,0.0,0.001,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000756.jpg,['bicycle'],0.0,0.999,0.002,0.0,0.03,0.002,0.014,0.007,0.003,0.001,0.0,0.001,0.0,0.0,0.021,0.005,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_005599.jpg,"['bicycle', 'person']",0.0,0.999,0.0,0.0,0.359,0.003,0.081,0.0,0.013,0.0,0.003,0.004,0.002,0.014,1.0,0.025,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_006070.jpg,"['bicycle', 'car']",0.001,0.999,0.001,0.0,0.059,0.012,0.061,0.001,0.006,0.001,0.0,0.002,0.0,0.002,0.022,0.016,0.001,0.0,0.003,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_001540.jpg,['bicycle'],0.0,0.999,0.0,0.0,0.126,0.001,0.028,0.0,0.004,0.0,0.0,0.007,0.0,0.014,0.004,0.012,0.001,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003811.jpg,"['bicycle', 'person']",0.001,0.999,0.002,0.001,0.172,0.006,0.019,0.001,0.007,0.001,0.001,0.002,0.0,0.004,0.081,0.006,0.003,0.0,0.002,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_003193.jpg,['bicycle'],0.001,0.999,0.001,0.0,0.083,0.005,0.022,0.0,0.004,0.008,0.0,0.002,0.005,0.004,0.08,0.006,0.011,0.0,0.002,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000149.jpg,"['bicycle', 'person']",0.0,0.999,0.004,0.0,0.046,0.003,0.017,0.0,0.011,0.003,0.0,0.002,0.001,0.002,0.041,0.005,0.002,0.0,0.001,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_008320.jpg,"['bicycle', 'person']",0.0,0.999,0.0,0.0,0.197,0.003,0.031,0.0,0.043,0.0,0.001,0.014,0.001,0.008,0.995,0.003,0.003,0.001,0.0,0.002
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_003771.jpg,['bird'],0.0,0.0,1.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.004,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2011_003213.jpg,['bird'],0.0,0.001,1.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000370.jpg,['bird'],0.0,0.001,1.0,0.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_000533.jpg,['bird'],0.0,0.001,1.0,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000664.jpg,['bird'],0.0,0.005,1.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_005092.jpg,['bird'],0.0,0.001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_005233.jpg,['bird'],0.0,0.001,1.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.002,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2008_004942.jpg,['bird'],0.0,0.001,1.0,0.0,0.008,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.0,0.001,0.0,0.0,0.001
/static/data/VOCdevkit/VOC2012\JPEGImages\2010_005531.jpg,['bird'],0.002,0.0,1.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000758.jpg,['bird'],0.0,0.0,1.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.0,0.0
/static/data/VOCdevkit/VOC2012\JPEGImages\2009_000206.jpg,['bird'],0.0,0.027,1.0,0.0,0.001,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.0,0.0,0.0,0.0
